Area,Beds,Baths,Toilets,Price
Abule-Egba,0,0,0,"5,700,000/day"
Abule-Egba,3,4,4,"28,000,000"
Abule-Egba,0,0,0,"4,500,000"
Abule-Egba,1,7,7,"24,000,000"
Abule-Egba,0,0,0,"12,000,000"
Abule-Egba,0,0,0,"60,000,000/sqm"
Abule-Egba,1,9,1,"35,000,000"
Abule-Egba,0,0,0,"8,000,000"
Abule-Egba,0,0,0,"8,000,000"
Abule-Egba,2,2,3,"112,000,000"
Abule-Egba,0,0,0,"13,000,000"
Abule-Egba,2,2,2,"12,000,000"
Abule-Egba,0,0,0,"30,000,000"
Abule-Egba,0,0,0,"50,000,000"
Abule-Egba,3,3,4,"30,000,000"
Abule-Egba,0,0,0,"16,000,000"
Abule-Egba,5,5,5,"45,000,000"
Abule-Egba,0,0,0,"8,000,000/sqm"
Abule-Egba,0,0,0,"40,000,000"
Abule-Egba,4,3,3,"18,000,000"
Abule-Egba,0,0,0,"18,000,000"
Abule-Egba,4,3,3,"8,000,000"
Abule-Egba,0,0,0,"40,000,000"
Abule-Egba,0,0,0,"9,000,000"
Abule-Egba,3,3,3,"5,000,000"
Abule-Egba,0,0,0,"20,000,000"
Abule-Egba,0,0,0,"10,000,000"
Abule-Egba,6,7,7,"13,000,000"
Abule-Egba,0,0,0,"7,500,000"
Abule-Egba,2,2,3,"9,500,000"
Abule-Egba,3,4,5,"38,000,000"
Abule-Egba,0,0,0,"140,000,000"
Abule-Egba,3,3,4,"30,000,000"
Abule-Egba,0,0,0,"10,500,000"
Abule-Egba,0,0,0,"13,000,000"
Abule-Egba,0,4,4,"52,000,000"
Abule-Egba,4,5,5,"15,500,000/day"
Abule-Egba,3,4,4,"8,000,000/day"
Abule-Egba,0,0,0,"9,000,000"
Abule-Egba,3,3,4,"15,000,000"
Abule-Egba,3,4,4,"15,000,000/day"
Abule-Egba,0,0,0,"45,000,000"
Abule-Egba,0,0,0,"18,000,000"
Abule-Egba,0,0,0,"45,000,000"
Abule-Egba,4,0,0,"12,000,000"
Abule-Egba,0,0,0,"25,000,000"
Abule-Egba,0,0,0,"18,000,000"
Abule-Egba,4,5,5,"19,000,000"
Abule-Egba,0,0,0,"38,000,000"
Abule-Egba,0,0,0,"12,500,000"
Abule-Egba,0,0,0,"13,500,000"
Abule-Egba,3,3,5,"1,450,000"
Abule-Egba,3,4,4,"14,000,000/day"
Abule-Egba,3,0,0,"45,000,000"
Abule-Egba,0,0,0,"25,000,000"
Abule-Egba,0,0,0,"10,000,000"
Abule-Egba,0,0,0,"4,500,000"
Abule-Egba,0,0,0,"13,000,000"
Abule-Egba,0,0,0,"35,000,000"
Abule-Egba,0,0,0,"22,000,000"
Abule-Egba,0,0,0,"10,000,000"
Abule-Egba,3,2,3,"40,000,000"
Abule-Egba,0,0,0,"3,500,000,000"
